entity,catg,subcatg,TA_score,count
amplitud (física),Hogar,Coberturas y Responsabilidades,58.88,1
amuleto,General,Seguros y Coberturas,58.39000000000001,3
amán,General,Seguros y Coberturas,25.66,1
américa del norte,Viajes,Seguros de Viaje,59.33916666666667,12
amígdala palatina,Salud,Medicina Preventiva,46.44,1
analgésico,Salud,Medicina Preventiva,80.00752808988764,89
anatomía,Salud,Medicina Preventiva,52.09,4
andante,Motor,Gestión de Seguros Automovilísticos,50.346000000000004,5
android,Economía,Seguros y Coberturas,69.2,1
anemia,Salud,Salud Digestiva,54.2727868852459,61
anestesia,Salud,Medicina Preventiva,64.31590909090909,22
anestesia local,Salud,Medicina Preventiva,58.698,5
angustia,Hogar,Coberturas y Responsabilidades,66.52000000000001,5
anillo vaginal,Salud,Trastornos Endocrinos,64.6640909090909,22
animal de compañía,Economía,Seguros y Coberturas,64.66272727272727,55
animalia,Economía,Seguros y Coberturas,51.54848484848485,33
anodoncia,Salud,Medicina Preventiva,75.56666666666666,3
anorexia nerviosa,Salud,Medicina Preventiva,59.62,1
ansiedad,General,Accidentes y Responsabilidades,69.33983050847458,59
ansiolítico,Salud,Medicina Preventiva,71.21666666666665,3
antena,Salud,Medicina Preventiva,42.629999999999995,4
antena (artrópodos),Hogar,Coberturas y Responsabilidades,46.89333333333334,3
antibiótico,Salud,Salud Infantil,69.79400000000001,5
anticoagulante,Salud,Medicina Preventiva,54.2775,4
anticoncepción,Salud,Trastornos Endocrinos,75.68466666666667,30
anticoncepción hormonal,Salud,Trastornos Endocrinos,86.32681818181818,22
antidepresivo,Salud,Medicina Preventiva,63.89125,40
antiepiléptico,Salud,Medicina Preventiva,62.04,3
antigua grecia,Economía,Consultas y Atención al Cliente,50.0325,8
antihipertensivo,General,Accidentes y Responsabilidades,54.898,35
antihistamínico,Motor,Gestión de Seguros Automovilísticos,77.25,1
antiinflamatorio,Salud,Medicina Preventiva,87.88662500000001,80
antiinflamatorio no esteroideo,Salud,Medicina Preventiva,86.2998717948718,78
antioxidante,Salud,Trastornos Endocrinos,74.68377976190476,336
antiparkinsonianos,General,Accidentes y Responsabilidades,59.278,35
antipirético,Salud,Medicina Preventiva,86.97974358974359,78
antiácido,Salud,Medicina Preventiva,56.11666666666667,3
antígeno,Economía,Seguros y Coberturas,40.53,1
análisis clínico,Salud,Medicina Preventiva,41.806,5
apagón eléctrico,Hogar,Electrodomésticos y Averías,65.39571428571428,14
aparato circulatorio,Salud,Salud Pancreática,66.96412078152754,563
aparato digestivo,Salud,Salud Pancreática,83.49028846153846,520
aparato estomatognático,Salud,Medicina Preventiva,55.38,1
aparato genital,Salud,Salud Infantil,66.56800000000001,10
aparato locomotor,Salud,Medicina Preventiva,46.89857142857143,7
aparato respiratorio,Salud,Medicina Preventiva,67.06058479532165,513
aparato urinario humano,Economía,Seguros y Coberturas,36.93,7
aparatología fija,Economía,Salud y Bienestar,65.79333333333334,12
apartamento,Motor,Robos y Vandalismo en Vehículos,70.885,6
apendicitis,Viajes,Cobertura Médica Internacional,44.16,1
apetito,Salud,Salud Pancreática,56.11934065934066,546
apium graveolens,Salud,Salud Respiratoria,62.478965517241384,29
aplicación móvil,Economía,Impuestos y Deducciones,70.3114705882353,170
apolo 11,Economía,Seguros y Coberturas,40.47,1
apple,General,Seguros y Coberturas,61.62,1
aprendizaje,Viajes,Seguros de Viaje,77.72083333333333,12
arachis hypogaea,Salud,Trastornos Endocrinos,69.06238562091504,306
arbitraje (derecho),General,Seguros y Coberturas,52.90333333333333,15
arbusto,Hogar,Coberturas y Responsabilidades,71.2,1
archivo (informática),Economía,Seguros y Coberturas,53.33428571428572,7
arcoíris,Hogar,Coberturas y Responsabilidades,57.56,1
arcén,Motor,Requisitos para Conducir sin Licencia,79.90591836734694,49
arena,Hogar,Reparaciones y Mantenimiento,60.215,4
argot,Economía,Seguros y Coberturas,49.790000000000006,2
arma,Economía,Seguros y Coberturas,44.4,1
arma de fuego,Viajes,Seguros de Viaje,71.2,12
armonía,Hogar,Coberturas y Responsabilidades,56.305416666666666,24
armoracia rusticana,Salud,Trastornos Endocrinos,58.28983660130719,306
arquitecto,Hogar,Alquiler y Derechos del Inquilino,88.94,1
arquitectura,Economía,Seguros y Coberturas,74.85499999999999,4
arranque (informática),Motor,Problemas Comunes en Vehículos,50.412499999999994,4
arrendamiento financiero,General,Multas y Sanciones,63.89240740740741,54
arroyo,Economía,Seguros y Coberturas,43.75,7
arte,Economía,Préstamos y Financiación,59.91931506849315,73
arteria,Salud,Medicina Preventiva,58.38625,8
articulación (anatomía),Salud,Medicina Preventiva,56.10166666666667,30
articulación de la rodilla,Salud,Medicina Preventiva,74.94,1
articulación temporomandibular,Economía,Salud y Bienestar,64.20555555555556,9
artritis,Salud,Medicina Preventiva,75.66265822784811,79
ascensor,Salud,Medicina Preventiva,65.49875,8
asepsia,Salud,Salud Infantil,36.85,3
asintomático,Economía,Seguros y Coberturas,46.31647058823529,17
asistencia (baloncesto),Economía,Seguros y Coberturas,46.80375,16
asistencia al viajero,Viajes,Cobertura Médica Internacional,70.57176470588234,51
asistencia sanitaria,General,Accidentes y Responsabilidades,69.09850144092219,347
asistencia sanitaria privada,Economía,Salud y Bienestar,45.4,1
asistencia sanitaria universal,Salud,Medicina Preventiva,55.623333333333335,6
asistencia vial,Motor,Gestión de Seguros Automovilísticos,84.45017857142857,56
asistente virtual,Economía,Consultas y Atención al Cliente,74.62666666666667,9
asma,Hogar,Coberturas y Responsabilidades,61.373333333333335,3
asociación española contra el cáncer,Economía,Seguros y Coberturas,51.97,1
asociación española de pediatría,Salud,Salud Infantil,47.57,7
aspalathus linearis,Salud,Medicina Preventiva,60.57666666666666,3
astigmatismo,Salud,Medicina Preventiva,63.190000000000005,18
ataque de denegación de servicio,Economía,Seguros y Coberturas,81.1,1
atención,Salud,Salud Mental y Emocional,71.55499999999999,6
atención especializada de salud,Salud,Medicina Preventiva,48.089999999999996,7
atención primaria de salud,Economía,Seguros y Coberturas,56.878644067796614,59
atmósfera,Economía,Seguros y Coberturas,58.49839285714285,56
atragantamiento,General,Accidentes y Responsabilidades,63.7,1
audición,Salud,Medicina Preventiva,60.495,4
audiometría,Salud,Medicina Preventiva,60.7,1
audífono,Salud,Medicina Preventiva,49.104,5
aumento de peso,Salud,Trastornos Endocrinos,62.61136363636364,22
auricular,Motor,Normativas de Circulación y Licencias,88.28999999999999,4
autenticación,Economía,Seguros y Coberturas,70.0,1
autenticación de múltiples factores,Economía,Seguros y Coberturas,80.44,1
autobús,Economía,Impuestos y Deducciones,63.01608695652173,69
autocaravana,General,Multas y Sanciones,65.06117647058824,51
autocontrol (habilidad),Economía,Seguros y Coberturas,47.355000000000004,4
autoescuela,Motor,Mantenimiento y Reemplazo de Embragues,59.450813008130076,123
autoestima,Salud,Medicina Preventiva,67.43846153846154,13
autolesión,Economía,Salud y Bienestar,62.20625,8
automóvil,Motor,Mantenimiento y Reemplazo de Embragues,65.15749185667752,614
automóvil de turismo,Motor,Normativas de Circulación y Licencias,58.07777777777778,9
automóvil eléctrico,Motor,Aspectos Legales de la Propiedad Vehicular,80.32291666666667,48
autopista,Motor,Mantenimiento y Reemplazo de Embragues,68.72901315789473,152
autorización para la conducción de vehículos,General,Normativas de Convivencia,70.51292011019284,363
aval,Economía,Usufructo y Propiedad,62.99,45
avenida (hidrología),Viajes,Seguros de Viaje,55.98846153846154,13
aves,Hogar,Coberturas y Responsabilidades,54.98,5
aviación,Economía,Seguros y Coberturas,55.2825,4
avión,Motor,Gestión de Seguros Automovilísticos,58.057500000000005,40
axila,Economía,Seguros y Coberturas,38.38,1
ayuno,Salud,Salud Pancreática,62.12907597535934,487
ayuntamiento de madrid,General,Multas y Sanciones,62.24725490196079,51
azar,Economía,Seguros y Coberturas,54.4,6
azul,General,Normativas de Convivencia,63.510666666666665,15
azulejo,Hogar,Coberturas y Responsabilidades,57.44388888888889,18
azúcar,Salud,Salud Pancreática,69.39021113243763,521
azúcares,Salud,Trastornos Endocrinos,52.37366366366366,333
año fiscal,Economía,Seguros y Coberturas,61.44142857142857,7
babilonia (ciudad),Economía,Consultas y Atención al Cliente,48.1175,8
babilonia (reino),Economía,Seguros y Coberturas,74.40666666666667,3
bacteria,Economía,Riesgos y Responsabilidades,56.072,55
bacteria patógena,Salud,Salud Infantil,46.604285714285716,7
bactericida,Salud,Salud Pancreática,56.27582463465553,479
badajoz,Motor,Normativas de Circulación y Licencias,59.132222222222225,9
baguette,Economía,Aspectos Legales y Normativos,56.2425,4
baipás coronario,Economía,Seguros y Coberturas,63.675,4
baipás gástrico,Economía,Seguros y Coberturas,82.5325,4
balance general,Motor,Gestión de Seguros Automovilísticos,73.94,1
balanza,Motor,Problemas Comunes en Vehículos,62.1575,4
baliza,Motor,Robos y Vandalismo en Vehículos,43.44,3
balón gástrico,Salud,Salud Mental y Emocional,88.69555555555556,9
banana,Salud,Medicina Preventiva,49.72,1
banca electrónica,General,Seguros y Coberturas,63.89333333333334,12
banco,Economía,Impuestos y Deducciones,65.98345177664974,394
banco de españa,General,Seguros y Coberturas,65.4171052631579,38
banda gástrica ajustable,Economía,Seguros y Coberturas,86.8875,4
barcelona,Motor,Normativas de Circulación y Licencias,63.56363636363636,55
barniz,Hogar,Reparaciones y Mantenimiento,50.916785714285716,28
barro,Hogar,Coberturas y Responsabilidades,49.36000000000001,3
base de datos,Economía,Aspectos Legales y Normativos,55.44,3
base imponible,Motor,Normativas de Circulación y Licencias,54.5612,25
bastidor (vehículo),Economía,Seguros y Coberturas,54.61705882352941,17
basura,Salud,Salud Pancreática,73.01817391304347,575
batería (electricidad),Motor,Normativas de Circulación y Licencias,62.67368421052632,114
batería de ion de litio,General,Seguros y Coberturas,51.2,1
batidora (mezcla),Economía,Seguros y Coberturas,87.69,2
batman,Motor,Aspectos Legales de la Propiedad Vehicular,48.455,8
bayeta,Hogar,Reparaciones y Mantenimiento,52.48,18
baza (granada),Economía,Seguros y Coberturas,58.050000000000004,3
bazo,Salud,Salud Pancreática,69.19062630480167,479
bañera,Hogar,Reparaciones y Mantenimiento,70.10727272727273,11
bebida alcohólica,Salud,Medicina Preventiva,61.21189655172414,58
bebida isotónica,Motor,Normativas de Circulación y Licencias,53.295,2
belleza,Economía,Seguros y Coberturas,60.745,4
benavente (zamora),Economía,Consultas y Atención al Cliente,65.13333333333333,3
beneficio económico,Economía,Aspectos Legales y Normativos,64.03961538461539,26
beneficio fiscal,Economía,Préstamos y Financiación,55.72930817610062,159
benzodiazepina,Motor,Gestión de Seguros Automovilísticos,98.75,1
beta vulgaris,Salud,Salud Pancreática,66.97553941908714,482
bicarbonato,Hogar,Coberturas y Responsabilidades,46.71666666666667,3
bicarbonato de sodio,General,Accidentes y Responsabilidades,73.5671052631579,38
bicicleta,Salud,Medicina Preventiva,80.78875000000001,48
bidé,Hogar,Reparaciones y Mantenimiento,66.65333333333334,3
bien de capital,Economía,Aspectos Legales y Normativos,72.075,4
bien económico,Economía,Consultas y Atención al Cliente,62.98685185185185,54
bienes muebles,Economía,Aspectos Legales y Normativos,48.45125,8
bienes y servicios,Economía,Consultas y Atención al Cliente,45.47153846153846,13
bienestar,Salud,Medicina Preventiva,53.8378947368421,38
bienestar de los animales,Hogar,Coberturas y Responsabilidades,60.20666666666667,3
bienestar social,Economía,Consultas y Atención al Cliente,52.6925,8
bilbao,Economía,Seguros y Coberturas,37.44,1
bilis,Salud,Salud Pancreática,84.25968814968816,481
biogás,Motor,Normativas de Circulación y Licencias,60.99666666666667,9
biopsia,Salud,Salud Infantil,72.72500000000001,6
bioquímica,Salud,Medicina Preventiva,38.39,2
bisutería,General,Seguros y Coberturas,50.11666666666667,3
blanco,General,Normativas de Convivencia,61.59466666666666,15
blattodea,Hogar,Coberturas y Responsabilidades,59.43333333333333,3
blefaroplastia,Salud,Medicina Preventiva,85.828,5
blog,General,Accidentes y Responsabilidades,59.49743243243244,148
bloqueo (ferrocarril),Economía,Seguros y Coberturas,67.31230769230768,13
bluetooth,Motor,Normativas de Circulación y Licencias,84.538,5
blíster,Salud,Trastornos Endocrinos,46.62954545454545,22
boca,Salud,Medicina Preventiva,59.30571428571428,7
bocina,Motor,Normativas de Circulación y Licencias,62.465,4
boletín oficial del estado,Economía,Seguros y Coberturas,54.110769230769236,13
bollo,Economía,Seguros y Coberturas,54.57,2
bolsa de valores,Economía,Préstamos y Financiación,77.80333333333333,12
bolso,Motor,Gestión de Seguros Automovilísticos,49.70133333333333,15
bolígrafo,Motor,Problemas Comunes en Vehículos,39.31,4
bomba de calor,Hogar,Electrodomésticos y Averías,70.59166666666667,6
bomba hidráulica,Hogar,Electrodomésticos y Averías,66.83145161290322,62
bombero,General,Normativas de Convivencia,61.34,2
bombín (sombrero),Hogar,Coberturas y Responsabilidades,47.695,6
bono (finanzas),Economía,Préstamos y Financiación,58.742666666666665,15
boquilla (viento-metal),Economía,Riesgos y Responsabilidades,75.44,1
bordillo,Economía,Seguros y Coberturas,58.4,1
borrasca filomena,Motor,Problemas Comunes en Vehículos,49.7,1
bos taurus,Economía,Seguros y Coberturas,45.1,1
bosque,Hogar,Coberturas y Responsabilidades,56.56,3
bot conversacional,Economía,Consultas y Atención al Cliente,80.17888888888889,9
botiquín,Salud,Medicina Preventiva,63.63,2
botón (dispositivo),Economía,Seguros y Coberturas,68.7825,4
bozal,Mascotas,Cuidado y Mantenimiento de la Piel,55.16142857142857,7
brassica oleracea var. botrytis (coliflor),Salud,Trastornos Endocrinos,67.64192810457516,306
brassica oleracea var. capitata,Salud,Trastornos Endocrinos,67.4916339869281,306
brassica oleracea var. gemmifera,Salud,Trastornos Endocrinos,64.31751633986929,306
brassica oleracea var. italica,Salud,Trastornos Endocrinos,66.12282051282051,351
brassica rapa subsp. rapa,Salud,Medicina Preventiva,54.99666666666667,3
bricolaje,Hogar,Alquiler y Derechos del Inquilino,48.561,10
bronce,General,Seguros y Coberturas,60.74666666666667,3
brote de soya,Salud,Salud Digestiva,52.69555555555556,45
brownie,Economía,Seguros y Coberturas,55.25,2
bruselas,Salud,Trastornos Endocrinos,55.02369281045752,306
bruxismo,Salud,Medicina Preventiva,76.5,1
bud spencer,Economía,Aspectos Legales y Normativos,43.08,2
bufanda,Salud,Salud Respiratoria,60.597,30
bujía,Motor,Problemas Comunes en Vehículos,76.15666666666667,12
bujía de precalentamiento,Motor,Problemas Comunes en Vehículos,54.02333333333333,3
bulimia,Salud,Medicina Preventiva,56.16,1
burocracia,Hogar,Daños y Filtraciones,50.65655172413793,29
burofax,Economía,Cancelación y Baja de Seguros,48.15913580246914,81
bélgica,General,Multas y Sanciones,63.60190476190477,21
caballo fiscal,Economía,Impuestos y Deducciones,79.39239130434783,46
cable,General,Accidentes y Responsabilidades,50.911764705882355,17
cadenas para la nieve,Motor,Normativas de Circulación y Licencias,85.70444444444445,9
cafetera,Economía,Seguros y Coberturas,93.22,2
cafeína,Salud,Medicina Preventiva,72.39999999999999,3
café,Salud,Medicina Preventiva,76.37815789473684,494
caja de cambios,Motor,Mantenimiento y Reemplazo de Embragues,89.1459349593496,123
caja de cambios de doble embrague,Motor,Problemas Comunes en Vehículos,72.69,5
caja de seguridad,General,Seguros y Coberturas,58.70666666666667,3
caja fuerte,Economía,Seguros y Coberturas,65.20461538461538,26
cajero automático,Motor,Robos y Vandalismo en Vehículos,51.52333333333333,3
cal (material),Hogar,Coberturas y Responsabilidades,63.901428571428575,7
calcificación,Economía,Seguros y Coberturas,32.29857142857143,7
calcio,Salud,Salud Digestiva,67.60442105263158,95
caldera (calefacción),Hogar,Coberturas y Responsabilidades,74.631,10
caldo,Salud,Salud Respiratoria,61.40108108108109,74
calefacción,Hogar,Reparaciones y Mantenimiento,78.41189655172414,58
calendario de vacunación,Salud,Salud Infantil,59.42928571428571,14
calentamiento global,Economía,Riesgos y Responsabilidades,55.87625,8
calidad de vida,Salud,Medicina Preventiva,50.06559322033898,59
calle,Motor,Aspectos Legales de la Propiedad Vehicular,87.3025,8
calle peatonal,Motor,Aspectos Legales de la Propiedad Vehicular,69.5,1
calor,Salud,Trastornos Endocrinos,61.75044226044226,407
calor residual,Hogar,Reparaciones y Mantenimiento,55.29071428571428,14
caloría,Salud,Trastornos Endocrinos,65.67245283018867,318
calzada,Motor,Aspectos Legales de la Propiedad Vehicular,71.06,1
calzado,Economía,Aspectos Legales y Normativos,53.715,6
cambio climático,Economía,Seguros y Coberturas,65.31,4
cambio de paradigma,Economía,Seguros y Coberturas,60.373333333333335,18
camión,Economía,Impuestos y Deducciones,65.77342465753425,73
campana extractora,Hogar,Coberturas y Responsabilidades,68.7,1
campo visual,Salud,Medicina Preventiva,47.62833333333333,6
canadá,Motor,Trámites de Baja de Vehículos,47.10153846153845,13
canalón,Economía,Seguros y Coberturas,66.555,4
canis familiaris,General,Accidentes y Responsabilidades,65.7248148148148,54
canis lupus,Economía,Seguros y Coberturas,50.47,1
cansancio,Salud,Trastornos Endocrinos,59.231583113456466,379
capacidad de carga,Motor,Seguros de Responsabilidad Civil,58.91125,8
capecitabina,Salud,Medicina Preventiva,65.13666666666667,3
capilar sanguíneo,Salud,Medicina Preventiva,57.11666666666667,3
capilaridad,Economía,Seguros y Coberturas,49.07857142857143,7
capital (economía),Economía,Consultas y Atención al Cliente,60.582368421052635,38
capital económico,Economía,Seguros y Coberturas,49.285714285714285,14
capitalización de mercado,Economía,Consultas y Atención al Cliente,51.68178571428571,28
capra aegagrus hircus,Economía,Seguros y Coberturas,39.84,1
capra pyrenaica,Economía,Seguros y Coberturas,48.38,1
capreolus capreolus,Economía,Seguros y Coberturas,44.62,1
cara,Salud,Medicina Preventiva,57.2,1
caravana (vehículo),Motor,Normativas de Circulación y Licencias,60.88272727272727,11
carbono,General,Multas y Sanciones,48.16857142857143,56
carbón,Economía,Aspectos Legales y Normativos,55.195,4
carcinoma,Economía,Seguros y Coberturas,45.47,1
cardiología,Salud,Medicina Preventiva,60.31307692307692,13
cardiopatía congénita,Economía,Seguros y Coberturas,50.782222222222224,9
cardo,Salud,Medicina Preventiva,49.59,3
carga (derecho),Economía,Impuestos y Deducciones,45.982,5
caries,Economía,Salud y Bienestar,71.7725,12
carne,Salud,Trastornos Endocrinos,77.5626050420168,357
carne blanca,Salud,Medicina Preventiva,55.54,3
carne de pollo,Salud,Medicina Preventiva,69.91333333333334,3
carne roja,Salud,Medicina Preventiva,46.12,1
carrera a pie,Salud,Medicina Preventiva,74.42,5
carrera ilegal,Motor,Aspectos Legales de la Propiedad Vehicular,58.9,1
carretera,Motor,Mantenimiento y Reemplazo de Embragues,61.42851311953353,343
carro de combate,Hogar,Coberturas y Responsabilidades,63.371111111111105,9
cartón,Hogar,Coberturas y Responsabilidades,44.03666666666667,3
casa adosada,General,Normativas de Convivencia,45.949999999999996,22
casa del pueblo,Economía,Riesgos y Responsabilidades,55.1,1
casco antiguo,Hogar,Normativas y Regulaciones Vecinales,62.44777777777777,9
caso fortuito,Hogar,Coberturas y Responsabilidades,52.8,1
castilla,Salud,Salud Infantil,46.604285714285716,7
castilla y león,Salud,Salud Infantil,50.26,7
casuística,Economía,Seguros y Coberturas,45.41166666666667,6
catarata,Salud,Medicina Preventiva,58.6935294117647,17
catastro,Economía,Seguros y Coberturas,65.56,1
catálisis,Motor,Robos y Vandalismo en Vehículos,62.13333333333333,3
cauce,General,Accidentes y Responsabilidades,57.785,2
caza,Motor,Aspectos Legales de la Propiedad Vehicular,55.53411764705883,17
caza mayor,Economía,Seguros y Coberturas,60.88,1
caza menor,Economía,Seguros y Coberturas,54.16,1
cañizo,Hogar,Normativas y Regulaciones Vecinales,48.51222222222222,9
cebra,Motor,Mantenimiento y Reemplazo de Embragues,58.84586776859504,121
ceda el paso,Economía,Riesgos y Responsabilidades,62.485,2
