catg,subcatg,entity,count,TA_score
"Correas, cadenas, rodillos",Aplicaciones en Motores,construcción,31,55.03
Accesorios para coches,Soluciones de Purificación de Aire,consumidor,4,51.38
Aire acondicionado,Mantenimiento del Compresor,consumo,1,36.84
Accesorios para coches,Soluciones de Purificación de Aire,consumo y recursos energéticos a nivel mundial,7,35.12
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,contacto eléctrico,1,38.12
Aceite de motor,Uso de Aditivos,contaminación,86,55.12
Accesorios para coches,Soluciones de Purificación de Aire,contaminación atmosférica,1,48.62
Accesorios para coches,Regulaciones y Normativas de Tráfico,control de alcoholemia,1,71.2
Caja de cambios,Clasificación de Transmisiones,control de tracción,11,58.6
Carrocería,Sistemas de Cierre Centralizado,control remoto,2,63.8
Aire acondicionado,Diagnóstico del Sistema,corazón,1,39.75
"Correas, cadenas, rodillos",Aplicaciones en Motores,correa de distribución,31,76.2
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,corriente eléctrica,36,64.8
Aceite de motor,Uso de Aditivos,corrosión,50,54.56
Accesorios para coches,Sistemas de Antenas Automotrices,cortocircuito,44,51.9
Carrocería,Elementos de Seguridad Estructural,coste total de propiedad,2,42.12
Aceite de motor,Uso de Aditivos,creencia,6,37.4
Carrocería,Estructuras de Vidrio Automotriz,cristal,3,41.2
Accesorios para coches,Dispositivos de Monitoreo Vehicular,cumplimiento normativo,1,45.6
Accesorios para coches,Dispositivos de Monitoreo Vehicular,dato,1,39.75
Accesorios para coches,Sistemas de Antenas Automotrices,demanda (economía),3,48.84
Accesorios para coches,Dispositivos de Monitoreo Vehicular,derecho de la unión europea,1,36.75
Aceite de motor,Uso de Aditivos,derivado del petróleo,6,30.38
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,descarga electrostática,1,48.1
Aceite de motor,Temperatura del Aceite,descomposición,5,34.16
Aceite de motor,Uso de Aditivos,desgaste,51,38.75
Calefacción y ventilación,Control de Temperatura Automotriz,deshumidificador,1,52.56
Accesorios para coches,Sistemas de Antenas Automotrices,destornillador,4,50.8
Aceite de motor,Uso de Aditivos,detergente,7,46.47
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,diagnóstico,54,44.25
Carrocería,Accesorios de Molduras Automotrices,dinero,1,30.05
Caja de cambios,Tipología de Palancas,dinámica,12,52.25
Accesorios para coches,Historial y Mantenimiento de Vehículos,dirección general de tráfico,3,60.12
Accesorios para coches,Sistemas de Antenas Automotrices,diseño,38,56.1
Calefacción y ventilación,Control de Temperatura Automotriz,disolución,2,27.94
Carrocería,Accesorios de Molduras Automotrices,disolvente,2,69.9
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,disponibilidad,5,55.62
Accesorios para coches,Dispositivos de Monitoreo Vehicular,dispositivo digital,1,33.34
Aire acondicionado,Diagnóstico del Sistema,distribución uniforme continua,1,30.02
Aceite de motor,Temperatura del Aceite,diésel,1,39.62
Aceites y líquidos,Evaluación de Líquidos de Frenos,ebullición,4,68.56
Aceite de motor,Temperatura del Aceite,economía,1,22.5
Aceite de motor,Temperatura del Aceite,economía de combustible en automóviles,1,34.66
"Correas, cadenas, rodillos",Aplicaciones en Motores,educación,32,51.53
Aceite de motor,Uso de Aditivos,eficiencia,77,32.22
Accesorios para coches,Soluciones de Purificación de Aire,eficiencia energética,2,52.88
Aire acondicionado,Diagnóstico del Sistema,electricidad,1,44.84
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,electrodo,1,33.84
Encendido y precalentamiento,Esquemas y Conexiones Eléctricas,electroimán,2,53.2
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,electromagnetismo,3,56.88
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,electromecánica,5,48.1
Accesorios para coches,Sistemas de Antenas Automotrices,electrónica,22,52.3
Caja de cambios,Funcionalidad de Palancas,embrague,12,63.62
"Correas, cadenas, rodillos",Aplicaciones en Motores,emisiones,77,56.44
Aire acondicionado,Garantías y Repuestos,empresa,2,57.44
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,encendido del motor,28,44.03
"Correas, cadenas, rodillos",Aplicaciones en Motores,energía,76,49.47
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,energía eléctrica,3,49.25
Accesorios para coches,Soluciones de Purificación de Aire,enfermedad,1,31.1
Caja de cambios,Funcionalidad de Palancas,engranaje,7,56.8
Aire acondicionado,Mantenimiento del Compresor,equipo de protección individual,2,30.52
Caja de cambios,Tipología de Palancas,ergonomía,4,71.4
Accesorios para coches,Dispositivos de Monitoreo Vehicular,escritura,1,29.45
Carrocería,Sistemas de Cierre Centralizado,escáner,2,32.53
Accesorios para coches,Historial y Mantenimiento de Vehículos,españa,8,50.56
Accesorios para coches,Soluciones de Purificación de Aire,espora,1,33.1
Aceite de motor,Uso de Aditivos,espuma,6,38.7
Carrocería,Accesorios de Molduras Automotrices,espátula,2,36.5
Carrocería,Estructuras de Vidrio Automotriz,estado,2,41.3
Accesorios para coches,Historial y Mantenimiento de Vehículos,estado de los estados unidos,3,40.66
Accesorios para coches,Regulaciones y Normativas de Tráfico,estadística,1,56.75
Accesorios para coches,Regulaciones y Normativas de Tráfico,estonia,1,50.25
Carrocería,Elementos de Seguridad Estructural,estrés,2,53.56
Caja de cambios,Dinámica de Velocidades,estática (mecánica),8,51.88
Accesorios para coches,Sistemas de Antenas Automotrices,estética,8,43.16
Aire acondicionado,Garantías y Repuestos,euro,7,53.16
Accesorios para coches,Regulaciones y Normativas de Tráfico,europa,5,48.47
Aire acondicionado,Diagnóstico del Sistema,evaporación,1,52.56
Aire acondicionado,Limpieza y Conservación,evaporador,8,65.75
Accesorios para coches,Sistemas de Antenas Automotrices,evolución biológica,5,56.75
Accesorios para coches,Sistemas de Antenas Automotrices,evolución tecnológica,2,37.56
Accesorios para coches,Dispositivos de Monitoreo Vehicular,factor limitante,1,23.42
Caja de cambios,Tipología de Palancas,fatiga de materiales,4,54.44
Amortiguación,Componentes de Amortiguación Silenciosa,felis silvestris catus,1,55.0
Calefacción y ventilación,Control de Temperatura Automotriz,fenómeno,1,33.0
Aceite de motor,Uso de Aditivos,fiabilidad de sistemas,44,62.97
Aceite de motor,Uso de Aditivos,filtración,12,42.2
Aire acondicionado,Limpieza y Conservación,filtro (hidráulica),15,53.2
Accesorios para coches,Historial y Mantenimiento de Vehículos,filtro de aceite,3,70.06
Aire acondicionado,Limpieza y Conservación,filtro de aire,7,66.44
"Correas, cadenas, rodillos",Aplicaciones en Motores,flexibilidad (anatomía),32,53.6
Caja de cambios,Funcionalidad de Palancas,fluido,8,38.56
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,flujo,7,44.44
Aire acondicionado,Diagnóstico del Sistema,fluorescencia,1,35.84
Accesorios para coches,Dispositivos de Monitoreo Vehicular,formato de archivo,1,45.38
Aceite de motor,Uso de Aditivos,frecuencia,12,38.1
Aceites y líquidos,Evaluación de Líquidos de Frenos,freno,4,32.2
Aceite de motor,Uso de Aditivos,fricción,49,42.7
Accesorios para coches,Sistemas de Antenas Automotrices,fuente de alimentación,30,73.1
Carrocería,Accesorios de Molduras Automotrices,fuerza,14,55.38
Accesorios para coches,Sistemas de Antenas Automotrices,función (matemática),16,43.72
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,fusible,36,60.8
Accesorios para coches,Sistemas de Antenas Automotrices,física,3,37.22
Aceite de motor,Uso de Aditivos,fórmula química,6,42.62
Aceite de motor,Uso de Aditivos,fósforo,6,47.38
Carrocería,Accesorios de Molduras Automotrices,gafas,5,48.72
Accesorios para coches,Sistemas de Antenas Automotrices,ganancia (electrónica),2,26.84
Aceite de motor,Uso de Aditivos,garantía,9,41.25
Aire acondicionado,Diagnóstico del Sistema,gas,2,50.38
Aire acondicionado,Diagnóstico del Sistema,gas de efecto invernadero,1,54.28
Aceite de motor,Temperatura del Aceite,gasolina,1,40.0
Amortiguación,Componentes de Amortiguación Silenciosa,gato (dispositivo),1,58.3
Amortiguación,Componentes de Amortiguación Silenciosa,geometría,1,48.84
Amortiguación,Componentes de Amortiguación Silenciosa,geometría de la suspensión,1,72.56
Accesorios para coches,Sistemas de Antenas Automotrices,gestión,2,49.38
Accesorios para coches,Sistemas de Antenas Automotrices,gestión de flotas,2,71.1
Aire acondicionado,Garantías y Repuestos,gestión de riesgos,1,38.78
Accesorios para coches,Sistemas de Antenas Automotrices,gps,3,59.88
Aceite de motor,Temperatura del Aceite,grado celsius,5,23.95
Aceite de motor,Temperatura del Aceite,grado sexagesimal,5,22.56
Carrocería,Accesorios de Molduras Automotrices,grasa,1,40.56
Accesorios para coches,Historial y Mantenimiento de Vehículos,grasa (lubricante),3,72.9
Carrocería,Elementos de Seguridad Estructural,gravedad,4,35.47
Carrocería,Accesorios de Molduras Automotrices,guante,3,62.3
Accesorios para coches,Soluciones de Purificación de Aire,hepa,1,54.62
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,herramienta,38,58.47
Aceite de motor,Uso de Aditivos,hidrocarburo,6,53.6
Caja de cambios,Funcionalidad de Palancas,hidráulica,8,45.2
Accesorios para coches,Sistemas de Antenas Automotrices,hielo,1,48.03
Aceite de motor,Temperatura del Aceite,hollín,1,38.38
Caja de cambios,Clasificación de Transmisiones,homo sapiens,3,56.8
Aire acondicionado,Diagnóstico del Sistema,huella de carbono,1,50.03
Aceite de motor,Uso de Aditivos,humedad,21,34.9
Calefacción y ventilación,Control de Temperatura Automotriz,humedad del aire,1,68.2
Caja de cambios,Clasificación de Transmisiones,háptica,3,60.9
Aire acondicionado,Diagnóstico del Sistema,impacto ambiental,5,51.16
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,inductor,4,56.8
Aire acondicionado,Diagnóstico del Sistema,industria,5,56.9
Aire acondicionado,Diagnóstico del Sistema,industria automotriz,8,63.72
Aceite de motor,Uso de Aditivos,información,74,47.1
Accesorios para coches,Dispositivos de Monitoreo Vehicular,infraestructura urbana,1,45.38
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,ingeniería eléctrica,4,67.1
Aceite de motor,Uso de Aditivos,inhibidor enzimático,6,41.8
Accesorios para coches,Soluciones de Purificación de Aire,innovación,6,42.9
Caja de cambios,Dinámica de Velocidades,inteligencia,8,50.1
Caja de cambios,Dinámica de Velocidades,inteligencia artificial,8,62.8
Accesorios para coches,Historial y Mantenimiento de Vehículos,interenfriador,3,71.0
Caja de cambios,Clasificación de Transmisiones,interfaz,3,45.88
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,interruptor,8,52.25
Aire acondicionado,Diagnóstico del Sistema,invernadero,1,36.9
"Correas, cadenas, rodillos",Aplicaciones en Motores,inversión,41,48.28
Carrocería,Estructuras de Vidrio Automotriz,investigación,2,40.8
Carrocería,Estructuras de Vidrio Automotriz,investigación de mercados,2,47.47
Aire acondicionado,Diagnóstico del Sistema,invierno,2,33.38
Accesorios para coches,Historial y Mantenimiento de Vehículos,inyección de combustible,3,80.0
Accesorios para coches,Soluciones de Purificación de Aire,ion,1,30.77
Accesorios para coches,Soluciones de Purificación de Aire,ionización,1,43.62
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,iridio,1,48.7
Accesorios para coches,Dispositivos de Monitoreo Vehicular,isso,3,37.66
Carrocería,Elementos de Seguridad Estructural,jaula de seguridad,2,54.47
Accesorios para coches,Regulaciones y Normativas de Tráfico,kilogramo,1,43.6
Accesorios para coches,Soluciones de Purificación de Aire,laboratorio,1,39.22
Caja de cambios,Clasificación de Transmisiones,lenguaje de programación,3,65.0
Accesorios para coches,Regulaciones y Normativas de Tráfico,ley,1,42.72
Aire acondicionado,Limpieza y Conservación,limpieza,9,38.88
Accesorios para coches,Historial y Mantenimiento de Vehículos,litio,3,47.88
Accesorios para coches,Regulaciones y Normativas de Tráfico,litro,1,41.75
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,llave,3,46.56
Calefacción y ventilación,Control de Temperatura Automotriz,lluvia,1,48.53
Accesorios para coches,Sistemas de Antenas Automotrices,logística,2,57.0
Aceite de motor,Uso de Aditivos,longevidad,39,45.97
"Correas, cadenas, rodillos",Aplicaciones en Motores,lubricación,49,49.75
Aceite de motor,Uso de Aditivos,lubricante,23,63.16
Accesorios para coches,Historial y Mantenimiento de Vehículos,luz,4,43.53
Aceite de motor,Uso de Aditivos,líquido,12,52.4
Aceites y líquidos,Evaluación de Líquidos de Frenos,líquido de frenos,4,55.38
Accesorios para coches,Dispositivos de Monitoreo Vehicular,macrodatos,1,75.94
Aire acondicionado,Diagnóstico del Sistema,manguera,1,24.58
"Correas, cadenas, rodillos",Aplicaciones en Motores,mano de obra,38,44.3
"Correas, cadenas, rodillos",Aplicaciones en Motores,mantenimiento preventivo,74,66.7
Aire acondicionado,Limpieza y Conservación,manómetro,10,36.38
Carrocería,Estructuras de Vidrio Automotriz,marca,3,47.1
Aire acondicionado,Mantenimiento del Compresor,mascarilla,1,33.47
Caja de cambios,Funcionalidad de Palancas,mecanismo,7,45.8
Caja de cambios,Funcionalidad de Palancas,mecanismo sincronizador,7,52.2
Accesorios para coches,Soluciones de Purificación de Aire,mecánica,2,29.72
Accesorios para coches,Sistemas de Antenas Automotrices,medición,16,50.3
Aire acondicionado,Diagnóstico del Sistema,medio ambiente natural,6,52.1
Accesorios para coches,Sistemas de Antenas Automotrices,mercado,13,48.75
Aceite de motor,Uso de Aditivos,metal,7,43.0
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,metal precioso,1,39.5
Accesorios para coches,Soluciones de Purificación de Aire,microorganismo,1,41.88
Accesorios para coches,Soluciones de Purificación de Aire,micrómetro (unidad de longitud),1,21.55
Aceite de motor,Uso de Aditivos,mineral,7,37.84
Accesorios para coches,Sistemas de Antenas Automotrices,miniaturización,1,54.47
Accesorios para coches,Regulaciones y Normativas de Tráfico,ministerio del interior (españa),1,51.62
Carrocería,Estructuras de Vidrio Automotriz,modelo estándar de la física de partículas,2,31.77
Aire acondicionado,Diagnóstico del Sistema,moho,2,38.8
Carrocería,Accesorios de Molduras Automotrices,moldura,4,30.6
Aire acondicionado,Diagnóstico del Sistema,montreal,1,34.3
Aceite de motor,Uso de Aditivos,motor,101,55.2
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,motor de arranque,5,55.75
"Correas, cadenas, rodillos",Aplicaciones en Motores,motor de combustión interna,35,70.5
Aceite de motor,Temperatura del Aceite,motor de gasolina,1,52.9
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,motor diésel,32,67.25
"Correas, cadenas, rodillos",Aplicaciones en Motores,motor en línea,31,52.8
Accesorios para coches,Dispositivos de Monitoreo Vehicular,multa,1,50.4
Accesorios para coches,Sistemas de Antenas Automotrices,multímetro,39,72.2
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,máquina eléctrica,3,39.88
Accesorios para coches,Sistemas de Antenas Automotrices,navegación,1,70.4
Amortiguación,Evaluación de Calidad de Amortiguadores,neumático,4,77.0
Accesorios para coches,Dispositivos de Monitoreo Vehicular,nicho de mercado,1,22.58
Accesorios para coches,Sistemas de Antenas Automotrices,nieve,2,55.25
Aire acondicionado,Diagnóstico del Sistema,nitrógeno,1,38.2
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,níquel,1,45.62
Accesorios para coches,Historial y Mantenimiento de Vehículos,número de chasis,3,47.38
Accesorios para coches,Dispositivos de Monitoreo Vehicular,obsolescencia,1,35.16
Carrocería,Elementos de Seguridad Estructural,ocio,2,47.9
Aire acondicionado,Diagnóstico del Sistema,olor,1,36.72
Aceite de motor,Uso de Aditivos,optimización (matemática),16,47.7
Aire acondicionado,Diagnóstico del Sistema,ozono,2,46.1
Caja de cambios,Funcionalidad de Palancas,palanca,11,50.6
Caja de cambios,Funcionalidad de Palancas,palanca de cambios (automóvil),10,47.7
Aceite de motor,Temperatura del Aceite,panel de instrumentos,5,41.3
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,papel,4,42.16
Carrocería,Accesorios de Molduras Automotrices,papel de lija,1,69.25
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,par motor,12,67.5
Accesorios para coches,Historial y Mantenimiento de Vehículos,parabrisas,8,57.2
Accesorios para coches,Soluciones de Purificación de Aire,partículas en suspensión,1,38.78
Accesorios para coches,Regulaciones y Normativas de Tráfico,percepción,2,40.44
Aire acondicionado,Mantenimiento del Compresor,perno,1,32.12
Carrocería,Accesorios de Molduras Automotrices,perspectiva,1,41.62
Aceite de motor,Uso de Aditivos,petróleo,6,52.25
Aire acondicionado,Mantenimiento del Compresor,piel,1,29.56
Carrocería,Accesorios de Molduras Automotrices,pintura (material),3,64.75
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,pinza,28,56.75
Accesorios para coches,Sistemas de Antenas Automotrices,pioneer corporation,2,31.94
Aceite de motor,Uso de Aditivos,pistón,46,55.38
Accesorios para coches,Sistemas de Antenas Automotrices,planeamiento,3,58.84
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,platino,1,38.62
Accesorios para coches,Sistemas de Antenas Automotrices,plástico,6,50.84
"Correas, cadenas, rodillos",Aplicaciones en Motores,polea,43,64.4
Accesorios para coches,Soluciones de Purificación de Aire,polen,1,36.34
Carrocería,Accesorios de Molduras Automotrices,policloruro de vinilo,1,32.34
Carrocería,Accesorios de Molduras Automotrices,poliuretano,2,46.1
Aceite de motor,Uso de Aditivos,polvo,8,38.7
Aceite de motor,Uso de Aditivos,polímero,6,48.72
Accesorios para coches,Dispositivos de Monitoreo Vehicular,ponto,1,44.72
Accesorios para coches,Soluciones de Purificación de Aire,portabilidad,1,33.56
Aceite de motor,Uso de Aditivos,potencia (física),58,50.84
Carrocería,Estructuras de Vidrio Automotriz,precio,6,49.7
Aceite de motor,Temperatura del Aceite,precisión,5,26.66
Aire acondicionado,Limpieza y Conservación,presión,21,48.88
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,presupuesto,9,57.84
Accesorios para coches,Historial y Mantenimiento de Vehículos,privacidad en internet,2,51.03
