catg,subcatg,entity,count,TA_score
Cafeteras y hervidores,Tipos de Cafeteras,alimento,32,62.56
Batidoras,Equipos de Cocina,allium cepa,3,39.16
Cuidado del aire,Neutralización de Olores,allium sativum,1,54.28
Cuidado del aire,Neutralización de Olores,almacenamiento de alimentos,1,68.06
Cuidado del aire,Aromatización del Espacio,almohada,22,64.2
Cocinas,Tipología de Cocinas,almonte,1,66.06
Cocinas,Diseño y Distribución,almuerzo,1,89.6
Aspiradoras,Marcas Destacadas de Aspiradoras,almíbar,1,55.62
Altavoces,Opciones de Potencia y Rendimiento,alta definición,2,50.56
Altavoces,Altavoces Portátiles Avanzados,alta fidelidad,1,47.62
Altavoces,Opciones de Potencia y Rendimiento,altavoz,11,59.38
Altavoces,Opciones de Potencia y Rendimiento,altavoz inteligente,1,40.72
Barras de sonido,Integración de Sonido Inteligente,alto rango dinámico,2,58.8
Cocinas,Equipamiento y Accesorios,aluminio,26,65.4
Aspiradoras,Marcas Destacadas de Aspiradoras,alérgeno,5,33.16
Cocinas,Tipología de Cocinas,amarillo,7,47.2
Altavoces,Dispositivos Inteligentes de Sonido,amazon,12,42.56
Altavoces,Dispositivos Inteligentes de Sonido,amazon alexa,11,75.3
Altavoces,Dispositivos Inteligentes de Sonido,amazon fire tv,1,61.25
Barras de sonido,Integración de Sonido Inteligente,ambilight,1,61.53
Cocinas,Equipamiento y Accesorios,amoníaco,7,71.7
Aspiradoras,Marcas Destacadas de Aspiradoras,amperio-hora,12,40.4
Altavoces,Opciones de Potencia y Rendimiento,amplificador de audio,1,62.1
Altavoces,Opciones de Potencia y Rendimiento,amplificador electrónico,1,60.84
Cocinas,Diseño y Distribución,amplitud (física),1,84.3
Batidoras,Equipos de Cocina,ananas comosus,1,45.53
Altavoces,Dispositivos Inteligentes de Sonido,android,14,60.1
Altavoces,Dispositivos Inteligentes de Sonido,android tv,9,65.4
Aspiradoras,Aspiradoras para Mascotas,animal de compañía,5,57.25
Aspiradoras,Tipología de Aspiradoras,animalia,13,41.53
Cuidado del aire,Aromatización del Espacio,antibiótico,22,63.28
Cuidado del aire,Aromatización del Espacio,antifúngico,22,54.84
Batidoras,Equipos de Cocina,antracita,13,43.6
Aires acondicionados,Tecnología Inverter,aparato respiratorio,3,59.56
Altavoces,Dispositivos Inteligentes de Sonido,aplicación móvil,21,62.47
Altavoces,Dispositivos Inteligentes de Sonido,app store (ios),1,59.8
Altavoces,Configuración y Conectividad,apple,1,52.47
Cocinas,Mantenimiento y Limpieza,arena,2,72.75
Cafeteras y hervidores,Tipos de Cafeteras,ariete,1,37.84
Cocinas,Diseño y Distribución,armario,8,66.25
Altavoces,Altavoces Portátiles Avanzados,armonía,2,48.47
Aspiradoras,Marcas Destacadas de Aspiradoras,aromaterapia,2,53.4
Aspiradoras,Marcas Destacadas de Aspiradoras,arriondas,1,51.75
Cocina al vapor,Técnicas de Cocción Vapor,arroz,5,63.56
Cafeteras y hervidores,Métodos de Preparación,art déco,3,51.62
Cocinas,Tipología de Cocinas,arte culinario,12,61.2
Cuidado del aire,Control de Humedad,artritis,1,48.28
Cocinas,Diseño y Distribución,artículo de cocina,3,65.8
Batidoras,Equipos de Cocina,arándano rojo,1,48.97
Cocinas,Mantenimiento y Limpieza,asado,2,64.9
Cocinas,Equipamiento y Accesorios,asador,2,46.7
Altavoces,Dispositivos Inteligentes de Sonido,asistente de google,17,51.1
Aspiradoras,Accesorios y Recambios,asistente virtual,2,53.8
Cuidado del aire,Control de Humedad,asma,2,65.8
Aspiradoras,Aspiradoras Robotizadas,aspirador robótico,9,74.5
Aspiradoras,Marcas Destacadas de Aspiradoras,aspiradora,45,72.75
Aspiradoras,Marcas Destacadas de Aspiradoras,astigarraga,1,56.62
Aspiradoras,Marcas Destacadas de Aspiradoras,asturias,1,65.56
Altavoces,Altavoces Portátiles Avanzados,atmósfera,2,29.0
Altavoces,Opciones de Potencia y Rendimiento,audición,2,46.28
Barras de sonido,Integración de Sonido Inteligente,audio de alta resolución,1,55.88
Altavoces,Opciones de Potencia y Rendimiento,audio para automóvil,2,39.12
Barras de sonido,Integración de Sonido Inteligente,audiovisual,1,50.72
Altavoces,Opciones de Potencia y Rendimiento,audiófilo,2,52.88
Altavoces,Configuración y Conectividad,auricular,2,45.53
Cocinas,Tipología de Cocinas,australia,1,61.0
Aspiradoras,Aspiradoras Robotizadas,automatización industrial,1,50.72
Aspiradoras,Marcas Destacadas de Aspiradoras,azpeitia,1,58.62
Aspiradoras,Tipología de Aspiradoras,azul,11,45.38
Cocinas,Renovación y Decoración,azulejo,6,59.53
Batidoras,Equipos de Cocina,azúcar,2,52.44
Cocinas,Tipología de Aspiradoras,bacteria,48,59.88
Aspiradoras,Marcas Destacadas de Aspiradoras,baldosa,5,78.4
Cocinas,Diseño y Distribución,bambusoideae,1,34.7
Batidoras,Equipos de Cocina,banana,1,53.0
Cafeteras y hervidores,Tipos de Cafeteras,bar (unidad de presión),1,40.16
Aspiradoras,Marcas Destacadas de Aspiradoras,barcelona,2,47.3
Cafeteras y hervidores,Tipos de Cafeteras,barista,3,45.6
Barras de sonido,Integración de Sonido Inteligente,barra de sonido,2,46.9
Cocinas,Equipamiento y Accesorios,barreño,8,46.8
Aspiradoras,Tipología de Aspiradoras,basura,55,63.62
Aspiradoras,Marcas Destacadas de Aspiradoras,batería (electricidad),29,46.84
Aspiradoras,Marcas Destacadas de Aspiradoras,batería (instrumento musical),1,35.84
Aspiradoras,Aspiradoras Sin Cable,batería de ion de litio,3,36.66
Aspiradoras,Marcas Destacadas de Aspiradoras,batería de litio,2,31.55
Altavoces,Opciones de Potencia y Rendimiento,batería recargable,8,53.8
Batidoras,Equipos de Cocina,batidora (mezcla),6,54.16
Batidoras,Equipos de Cocina,bebida,14,55.53
Aspiradoras,Marcas Destacadas de Aspiradoras,beige,4,50.3
Cocinas,Equipamiento y Accesorios,beko,2,49.75
Batidoras,Equipos de Cocina,beta vulgaris,1,46.88
Cocinas,Equipamiento y Accesorios,bicarbonato de sodio,46,75.44
Cuidado del aire,Mantenimiento del Aire,bienestar,1,47.3
Cocinas,Equipamiento y Accesorios,bilbao,2,48.8
Aspiradoras,Tipología de Aspiradoras,biodegradabilidad,2,29.81
Cocinas,Tipología de Cocinas,bisagra,2,51.1
Barras de sonido,Integración de Sonido Inteligente,bit,2,26.3
Batidoras,Equipos de Cocina,bizcocho,1,42.8
Cafeteras y hervidores,Tipos de Cafeteras,blanco,1,38.38
Cocinas,Equipamiento y Accesorios,blog,62,55.72
Altavoces,Opciones de Potencia y Rendimiento,bluetooth,12,55.8
Aspiradoras,Tipología de Aspiradoras,bolsa de valores,1,70.7
Barras de sonido,Integración de Sonido Inteligente,bomba atómica,1,22.8
Aires acondicionados,Tecnología Inverter,bomba de calor,9,61.53
Aires acondicionados,Tecnología Inverter,bomba hidráulica,3,47.9
Aspiradoras,Marcas Destacadas de Aspiradoras,boquilla (viento-metal),5,37.38
Cocinas,Equipamiento y Accesorios,botella,7,60.7
Cafeteras y hervidores,Tipos de Cafeteras,bra (italia),1,33.88
Cuidado del aire,Aromatización del Espacio,brassica oleracea var. capitata,22,52.25
Aspiradoras,Marcas Destacadas de Aspiradoras,brocheta,1,50.75
Batidoras,Equipos de Cocina,buffalo wings,1,29.6
,Tipología de Aspiradoras,burdeos,1,52.7
Cocinas,Equipamiento y Accesorios,butano,15,52.47
Aspiradoras,Marcas Destacadas de Aspiradoras,bérriz,1,54.16
Aspiradoras,Marcas Destacadas de Aspiradoras,cable,5,35.3
Cocinas,Equipamiento y Accesorios,cable de alimentación,1,39.97
Cafeteras y hervidores,Tipos de Cafeteras,cafetera,32,76.6
Cafeteras y hervidores,Tipos de Cafeteras,cafetera expreso,7,68.75
Cafeteras y hervidores,Tipos de Cafeteras,cafetera moka,21,73.1
Cafeteras y hervidores,Tipos de Cafeteras,cafetería,3,42.8
Cafeteras y hervidores,Tipos de Cafeteras,café,59,72.06
Cafeteras y hervidores,Tipos de Cafeteras,café americano,1,58.47
Cafeteras y hervidores,Tipos de Cafeteras,café con leche,3,65.5
Cafeteras y hervidores,Tipos de Cafeteras,café expreso,34,59.53
Cafeteras y hervidores,Tipos de Cafeteras,cal (material),15,61.16
Batidoras,Equipos de Cocina,calabaza,1,52.97
Cafeteras y hervidores,Mantenimiento y Limpieza,calcificación,12,51.03
Cocinas,Diseño y Distribución,caldera (calefacción),2,50.44
Cocina al vapor,Técnicas de Cocción Vapor,caldo,2,79.6
Aires acondicionados,Tecnología Inverter,calefacción,25,74.06
Aires acondicionados,Mecanismos de Calefacción,calefactor,13,72.44
Cafeteras y hervidores,Tipos de Cafeteras,calentamiento global,3,49.0
Barras de sonido,Integración de Sonido Inteligente,calibración,1,39.12
Envasado al vacío,Equipos de Envasado,calidad de los alimentos,1,47.3
Cuidado del aire,Control de Humedad,calidad de vida,3,30.98
Aires acondicionados,Tecnología Inverter,calor,49,56.28
Cocinas,Equipamiento y Accesorios,calor residual,10,57.72
Cocinas,Tipología de Cocinas,campana extractora,3,48.8
Cocinas,Tipología de Cocinas,campo magnético,7,56.2
Barras de sonido,Sincronización de Audio Avanzada,canal de retorno,1,31.7
Aspiradoras,Marcas Destacadas de Aspiradoras,canarias,1,65.2
Aspiradoras,Marcas Destacadas de Aspiradoras,canis familiaris,7,52.4
Aspiradoras,Marcas Destacadas de Aspiradoras,cantabria,1,62.1
Cafeteras y hervidores,Tipos de Cafeteras,capuchino (café),10,57.28
Aspiradoras,Marcas Destacadas de Aspiradoras,caramelización,1,58.3
Cuidado del aire,Mantenimiento del Aire,carbono,1,37.44
Cafeteras y hervidores,Tipos de Cafeteras,carburador,2,72.1
Cuidado del aire,Aromatización del Espacio,carbón,25,53.88
Cuidado del aire,Neutralización de Olores,carbón activado,2,57.2
Cuidado del aire,Aromatización del Espacio,carbón vegetal,22,58.84
Cuidado del aire,Mantenimiento del Aire,carga eléctrica,1,67.8
Altavoces,Altavoces Portátiles Avanzados,cargador de batería,1,43.53
Batidoras,Equipos de Cocina,carne,19,62.6
Cafeteras y hervidores,Tipos de Cafeteras,carne de pollo,7,50.9
Aspiradoras,Accesorios y Recambios,carro de combate,6,57.97
Cocinas,Diseño y Distribución,cartón,1,43.88
Cocinas,Tipología de Cocinas,casa de campo,1,62.38
Cocinas,Equipamiento y Accesorios,cazuela (comida),1,44.1
Cocina al vapor,Recetas de Alimentos al Vapor,cazuela (recipiente),14,51.88
Cocinas,Diseño y Distribución,cefalea,7,45.12
Cuidado del aire,Mantenimiento del Aire,centrifugación,2,51.84
Aspiradoras,Marcas Destacadas de Aspiradoras,centrifugadora,6,36.44
Aspiradoras,Marcas Destacadas de Aspiradoras,centímetro,15,33.06
Cocinas,Mantenimiento y Limpieza,cera,6,74.06
Batidoras,Equipos de Cocina,cereza,1,46.72
Aspiradoras,Marcas Destacadas de Aspiradoras,cerámica,7,58.25
Aspiradoras,Marcas Destacadas de Aspiradoras,ceuta,1,56.28
Cafeteras y hervidores,Métodos de Preparación,chimenea,3,59.97
Cafeteras y hervidores,Tipos de Cafeteras,chocolate,16,59.62
Cafeteras y hervidores,Accesorios y Complementos,chocolate caliente,1,43.62
Aspiradoras,Marcas Destacadas de Aspiradoras,chuleta,1,51.62
Altavoces,Opciones de Potencia y Rendimiento,cine,1,57.1
Altavoces,Opciones de Potencia y Rendimiento,cine hogareño,2,61.44
Barras de sonido,Integración de Sonido Inteligente,cinefilia,1,46.38
Barras de sonido,Integración de Sonido Inteligente,cinemática,1,33.28
Cuidado del aire,Aromatización del Espacio,cinnamomum verum,22,59.88
Aspiradoras,Aspiradoras para Mascotas,cinta adhesiva,5,37.3
Aspiradoras,Aspiradoras para Mascotas,cinta aislante,5,50.84
Aspiradoras,Marcas Destacadas de Aspiradoras,cinta métrica,2,52.62
Aspiradoras,Tipología de Aspiradoras,circuito integrado,1,62.44
Batidoras,Equipos de Cocina,ciruela,1,41.97
Batidoras,Equipos de Cocina,citrullus lanatus,1,49.9
Batidoras,Equipos de Cocina,citrus,24,65.75
Batidoras,Equipos de Cocina,citrus × limon,37,60.1
Batidoras,Equipos de Cocina,citrus × paradisi,2,52.1
Cocinas,Mantenimiento y Limpieza,clara de huevo,6,61.9
Aspiradoras,Marcas Destacadas de Aspiradoras,clic (informática),2,26.34
Aires acondicionados,Tecnología Inverter,cliente (economía),7,52.1
Cocinas,Equipamiento y Accesorios,clima,9,56.47
Cuidado del aire,Control de Humedad,clima seco,6,56.53
Cuidado del aire,Control de Humedad,clima subtropical húmedo,6,48.47
Aires acondicionados,Mecanismos de Calefacción,climatización,13,78.1
Cafeteras y hervidores,Tipos de Cafeteras,cocción,34,61.44
Cocina al vapor,Recetas de Alimentos al Vapor,cocción al vapor,20,77.94
Cocinas,Equipamiento y Accesorios,cocina (artefacto),22,77.1
Aires acondicionados,Tecnología Inverter,cocina (habitación),96,66.9
Cocinas,Equipamiento y Accesorios,cocina de gas,18,76.7
Cocinas,Tipología de Cocinas,cocina vitrocerámica,8,48.7
Aspiradoras,Accesorios y Recambios,cojinete,1,67.94
Aspiradoras,Aspiradoras para Mascotas,cojín,5,40.0
Cocina al vapor,Recetas de Alimentos al Vapor,colador,12,62.8
Aspiradoras,Aspiradoras para Mascotas,colcha,5,41.12
,Tipología de Aspiradoras,colchón,1,56.8
Cocinas,Diseño y Distribución,color,5,69.2
Cocinas,Equipamiento y Accesorios,combustión,7,48.75
Cuidado del aire,Aromatización del Espacio,comedor,22,67.5
Cocina al vapor,Técnicas de Cocción Vapor,comida rápida,2,67.0
Barras de sonido,Integración de Sonido Inteligente,complemento (informática),1,50.3
Aires acondicionados,Tecnología Inverter,compresor (máquina),1,53.1
Cocinas,Equipamiento y Accesorios,computadora,4,42.2
Aspiradoras,Tipología de Aspiradoras,computadora de escritorio,3,34.66
Altavoces,Configuración y Conectividad,computadora personal,3,38.53
Altavoces,Opciones de Potencia y Rendimiento,computadora portátil,5,49.9
Altavoces,Altavoces Portátiles Avanzados,comunicación de campo cercano,1,29.58
Altavoces,Opciones de Potencia y Rendimiento,comunicación inalámbrica,9,44.03
Cafeteras y hervidores,Tipos de Cafeteras,concepción (chile),2,66.44
Cocina al vapor,Técnicas de Cocción Vapor,concha,2,50.1
Cuidado del aire,Control de Humedad,condensación (cambio de estado),6,72.0
Cuidado del aire,Neutralización de Olores,condensador (termodinámica),1,54.12
Cocinas,Equipamiento y Accesorios,congelador,3,39.4
Cuidado del aire,Control de Humedad,congestión nasal,1,45.75
Altavoces,Altavoces Portátiles Avanzados,construcción,1,22.9
Barras de sonido,Integración de Sonido Inteligente,consumidor,1,52.62
Aires acondicionados,Tecnología Inverter,consumo,4,44.84
Aires acondicionados,Tecnología Inverter,consumo y recursos energéticos a nivel mundial,34,51.38
Cocinas,Equipamiento y Accesorios,contaminación,4,53.44
Altavoces,Altavoces Portátiles Avanzados,contaminación acústica,1,28.34
Aspiradoras,Tipología de Aspiradoras,contaminación atmosférica,11,54.0
Cocinas,Renovación y Decoración,contrachapado,5,67.7
Aires acondicionados,Tecnología Inverter,control remoto,23,55.7
Altavoces,Altavoces Portátiles Avanzados,controlador de dispositivo,1,13.97
Cocinas,Renovación y Decoración,corazón,2,36.53
Cocinas,Diseño y Distribución,corcho,3,55.53
Aspiradoras,Marcas Destacadas de Aspiradoras,corriente de aire,2,61.12
Cocinas,Tipología de Cocinas,corriente eléctrica,2,65.4
Cafeteras y hervidores,Mantenimiento y Limpieza,corrosión,1,41.3
Aspiradoras,Marcas Destacadas de Aspiradoras,cortacésped,2,64.6
Cafeteras y hervidores,Tipos de Cafeteras,cortado,2,73.94
Aspiradoras,Marcas Destacadas de Aspiradoras,cortafuegos (informática),1,53.28
Cocinas,Diseño y Distribución,cortina,1,71.75
Cocinas,Tipología de Cocinas,covid-19,1,65.25
Aspiradoras,Tipología de Aspiradoras,cristal,21,46.84
Batidoras,Equipos de Cocina,croqueta,1,29.12
Cocinas,Renovación y Decoración,cuarzo,2,30.42
Cocinas,Diseño y Distribución,cubeta (química),3,41.4
Cuidado del aire,Aromatización del Espacio,cubo de basura,25,58.3
Cocinas,Mantenimiento y Limpieza,cubo de hielo,1,16.66
Cocinas,Mantenimiento y Limpieza,cucharada,6,50.72
Cuidado del aire,Aromatización del Espacio,cucharadita,22,47.1
Batidoras,Equipos de Cocina,cucumis melo,1,51.75
Aspiradoras,Aspiradoras para Mascotas,cuero,5,52.3
Cafeteras y hervidores,Tipos de Cafeteras,cupón,1,82.4
Cocinas,Tipología de Cocinas,cynara scolymus,2,43.53
Cocinas,Equipamiento y Accesorios,cáceres,1,31.66
Cocinas,Tipología de Cocinas,cádiz,2,53.25
Cafeteras y hervidores,Tipos de Cafeteras,cápsula de café,2,76.6
Cafeteras y hervidores,Tipos de Cafeteras,código de barras,3,36.56
Aspiradoras,Marcas Destacadas de Aspiradoras,código postal,54,33.22
Cocinas,Diseño y Distribución,cómoda,3,77.0
Aspiradoras,Marcas Destacadas de Aspiradoras,córdoba (españa),1,33.5
Batidoras,Equipos de Cocina,cúpula,2,39.8
Batidoras,Equipos de Cocina,daucus carota subsp. sativus,1,45.53
Aspiradoras,Marcas Destacadas de Aspiradoras,decibelio,6,40.7
Barras de sonido,Integración de Sonido Inteligente,deezer,1,32.8
Cocinas,Tipología de Cocinas,desarrollo sostenible,2,57.16
Cafeteras y hervidores,Tipos de Cafeteras,desayuno,1,20.02
Cafeteras y hervidores,Mantenimiento y Limpieza,descalcificador de agua,12,66.4
Cuidado del aire,Mantenimiento del Aire,descarga electrostática,1,83.1
Aspiradoras,Marcas Destacadas de Aspiradoras,descatalogar,1,33.8
Cuidado del aire,Neutralización de Olores,descomposición,1,58.44
Cuidado del aire,Control de Humedad,deshumidificador,12,62.2
Cocinas,Equipamiento y Accesorios,desinfección,30,52.4
Cuidado del aire,Aromatización del Espacio,desodorante,23,71.06
Cocinas,Diseño y Distribución,despensa,3,78.4
Cafeteras y hervidores,Mantenimiento y Limpieza,destilación,12,58.2
Cafeteras y hervidores,Métodos de Preparación,detergente,15,62.2
Altavoces,Opciones de Potencia y Rendimiento,diafragma (acústica),1,61.97
Aspiradoras,Marcas Destacadas de Aspiradoras,dicentrarchus labrax,1,57.25
Cafeteras y hervidores,Tipos de Cafeteras,dieta sana,1,36.9
Cocinas,Renovación y Decoración,dinero,10,49.9
Barras de sonido,Integración de Sonido Inteligente,diodo orgánico de emisión de luz,2,46.84
Barras de sonido,Integración de Sonido Inteligente,disco blu-ray,1,46.03
Cocinas,Renovación y Decoración,disco de vinilo,6,54.47
Cocinas,Equipamiento y Accesorios,discriminación,3,42.28
Aspiradoras,Marcas Destacadas de Aspiradoras,diseño,24,54.28
Aspiradoras,Tipología de Aspiradoras,dispositivo inteligente,3,34.88
Altavoces,Dispositivos Inteligentes de Sonido,dispositivo móvil,2,60.2
Altavoces,Opciones de Potencia y Rendimiento,distorsión,1,48.75
Aires acondicionados,Mecanismos de Calefacción,distribución uniforme continua,12,47.8
Aspiradoras,Marcas Destacadas de Aspiradoras,diámetro,6,39.62
Barras de sonido,Asistentes de Voz Integrados,dolby,3,45.4
Barras de sonido,Asistentes de Voz Integrados,dolby atmos,3,49.03
Barras de sonido,Asistentes de Voz Integrados,dolby digital (ac-3),2,32.75
Barras de sonido,Sincronización de Audio Avanzada,dolby digital plus,1,49.6
Cuidado del aire,Aromatización del Espacio,drenaje,22,59.0
Barras de sonido,Asistentes de Voz Integrados,dts,4,40.47
Altavoces,Altavoces Portátiles Avanzados,ducha,1,35.12
Cafeteras y hervidores,Tipos de Cafeteras,easy serving espresso,2,78.56
Cafeteras y hervidores,Métodos de Preparación,ebullición,41,69.3
Aires acondicionados,Tecnología Inverter,economía,4,39.1
Cafeteras y hervidores,Métodos de Preparación,economía doméstica,3,41.56
Altavoces,Altavoces Portátiles Avanzados,ecualizador,2,25.12
Barras de sonido,Integración de Sonido Inteligente,efecto de sonido,1,26.08
Altavoces,Altavoces Portátiles Avanzados,efectos visuales,2,38.75
Aspiradoras,Marcas Destacadas de Aspiradoras,eficiencia,31,35.0
Aspiradoras,Marcas Destacadas de Aspiradoras,eficiencia energética,43,68.7
Aspiradoras,Marcas Destacadas de Aspiradoras,eje (mecánica),1,55.2
Aspiradoras,Marcas Destacadas de Aspiradoras,el capricho (gaudí),1,65.06
Batidoras,Equipos de Cocina,el limón (venezuela),13,50.1
Cafeteras y hervidores,Tipos de Cafeteras,el molinillo (málaga),1,42.1
Aspiradoras,Tipología de Aspiradoras,el solito,1,53.2
Cuidado del aire,Control de Humedad,el tendedero,6,54.47
Aires acondicionados,Tecnología Inverter,electricidad,30,51.9
Aspiradoras,Aspiradoras para Mascotas,electricidad estática,6,51.8
Aires acondicionados,Tecnología Inverter,electrodoméstico,196,59.2
Cocinas,Tipología de Cocinas,electrolux,7,55.16
Cuidado del aire,Mantenimiento del Aire,electrón,1,68.4
Aspiradoras,Marcas Destacadas de Aspiradoras,electrónica,3,45.56
Aspiradoras,Marcas Destacadas de Aspiradoras,elgóibar,1,54.47
Aspiradoras,Tipología de Aspiradoras,elipse,4,38.84
Aspiradoras,Marcas Destacadas de Aspiradoras,embalaje,4,41.16
Envasado al vacío,Equipos de Envasado,embutido,1,67.0
Batidoras,Equipos de Cocina,empanado,1,33.28
Aspiradoras,Marcas Destacadas de Aspiradoras,empresa,2,76.8
Aspiradoras,Marcas Destacadas de Aspiradoras,empuñadura,3,24.92
Altavoces,Configuración y Conectividad,emulador,1,50.56
Cocinas,Tipología de Cocinas,encendedor,1,75.25
Aspiradoras,Tipología de Aspiradoras,enchufe,4,45.97
Cocinas,Tipología de Cocinas,encimera,16,46.53
Aires acondicionados,Tecnología Inverter,energía,55,51.53
Cuidado del aire,Mantenimiento del Aire,enfermedad,1,49.0
Cuidado del aire,Mantenimiento del Aire,entrega,1,39.5
Altavoces,Opciones de Potencia y Rendimiento,entretenimiento,1,48.38
Envasado al vacío,Equipos de Envasado,envasado,1,73.3
Envasado al vacío,Equipos de Envasado,envasado al vacío,1,46.7
Cocinas,Diseño y Distribución,envase,3,60.9
Aspiradoras,Marcas Destacadas de Aspiradoras,ergonomía,18,55.28
Aspiradoras,Tipología de Aspiradoras,escoba,1,71.6
Aspiradoras,Aspiradoras Sin Cable,escobilla (electricidad),2,30.69
Cocinas,Diseño y Distribución,escurreplatos,3,58.97
Cocinas,Tipología de Cocinas,esmalte,4,47.53
Cuidado del aire,Mantenimiento del Aire,espasmo muscular,1,54.6
Aspiradoras,Aspiradoras Sin Cable,españa,14,47.75
Barras de sonido,Integración de Sonido Inteligente,españa peninsular,1,25.06
Cocina al vapor,Utensilios de Cocina Vapor,especia,3,54.8
Cocinas,Mantenimiento y Limpieza,especie,1,19.77
Cafeteras y hervidores,Tipos de Cafeteras,espuma,1,61.72
Batidoras,Equipos de Cocina,espátula,4,41.1
Aspiradoras,Tipología de Aspiradoras,estación de carga,3,44.25
Cocinas,Diseño y Distribución,estante (mueble),3,71.25
Altavoces,Opciones de Potencia y Rendimiento,estilo de vida,1,40.62
Cocinas,Equipamiento y Accesorios,estropajo (utensilio),7,67.9
Altavoces,Opciones de Potencia y Rendimiento,estudio de grabación,1,38.94
Aires acondicionados,Tecnología Inverter,estufa (calefacción),16,64.44
Altavoces,Opciones de Potencia y Rendimiento,estética,7,40.56
Batidoras,Equipos de Cocina,etiqueta de información nutricional,1,46.1
Aires acondicionados,Tecnología Inverter,euro,3,37.53
Aspiradoras,Aspiradoras Sin Cable,eurofighter typhoon,1,35.03
Aires acondicionados,Manuales y Guías,evaporación,1,57.97
Aires acondicionados,Tecnología Inverter,experiencia de usuario,2,45.2
Cuidado del aire,Aromatización del Espacio,extracto de vainilla,22,57.62
Aires acondicionados,Tecnología Inverter,factura,13,49.3
Cocinas,Tipología de Cocinas,fagor (equipo ciclista español),7,35.78
Aspiradoras,Tipología de Aspiradoras,familia (biología),5,40.16
Cuidado del aire,Neutralización de Olores,fecha de caducidad,1,47.2
Aspiradoras,Aspiradoras para Mascotas,felidae,5,39.78
Aspiradoras,Marcas Destacadas de Aspiradoras,felis silvestris catus,7,50.9
Batidoras,Equipos de Cocina,fibra alimentaria,1,47.56
Altavoces,Altavoces Portátiles Avanzados,fibra de vidrio,1,38.78
Cuidado del aire,Control de Humedad,fibra sintética,1,63.38
Altavoces,Altavoces Portátiles Avanzados,fibra óptica,1,39.5
Batidoras,Equipos de Cocina,filete (carne roja),1,34.56
Aspiradoras,Marcas Destacadas de Aspiradoras,filosofía,2,59.12
Aspiradoras,Tipología de Aspiradoras,filtración,4,50.28
Aspiradoras,Marcas Destacadas de Aspiradoras,filtro (hidráulica),5,52.28
Cuidado del aire,Control de Humedad,filtro de aire,1,45.1
Altavoces,Configuración y Conectividad,firmware,2,42.62
Aspiradoras,Aspiradoras Sin Cable,fluido,4,27.56
Cocinas,Equipamiento y Accesorios,fluidodinámica,1,47.84
Cocinas,Tipología de Cocinas,flujo,10,53.2
